Era 1
Expected : window, 		Predicted : window, 		Log of likelihood : -74.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.34
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.57
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.49
Expected : window, 		Predicted : window, 		Log of likelihood : -59.45
Expected : path, 		Predicted : path, 		Log of likelihood : -56.44
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.93
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.99
Expected : brickface, 		Predicted : window, 		Log of likelihood : -61.91
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.52
Expected : window, 		Predicted : window, 		Log of likelihood : -55.59
Expected : window, 		Predicted : window, 		Log of likelihood : -56.20
Expected : path, 		Predicted : path, 		Log of likelihood : -57.58
Expected : path, 		Predicted : path, 		Log of likelihood : -60.31
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.36
Expected : brickface, 		Predicted : window, 		Log of likelihood : -72.67
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -63.16
Expected : window, 		Predicted : window, 		Log of likelihood : -55.68
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -67.92
Expected : brickface, 		Predicted : path, 		Log of likelihood : -82.06
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.51
Expected : window, 		Predicted : brickface, 		Log of likelihood : -57.13
Expected : brickface, 		Predicted : path, 		Log of likelihood : -56.67
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.81
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.62
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -66.27
Expected : brickface, 		Predicted : window, 		Log of likelihood : -73.46
Expected : brickface, 		Predicted : window, 		Log of likelihood : -55.53
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.15
Expected : path, 		Predicted : path, 		Log of likelihood : -55.28
Expected : window, 		Predicted : window, 		Log of likelihood : -56.43
Expected : window, 		Predicted : window, 		Log of likelihood : -57.63
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.47
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.48
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.94
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.06
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.82
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.49
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.73
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.06
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.03
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.05
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.15
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.03
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.64
Expected : path, 		Predicted : path, 		Log of likelihood : -57.53
Expected : window, 		Predicted : window, 		Log of likelihood : -56.27
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.83
Expected : window, 		Predicted : window, 		Log of likelihood : -66.43
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.11
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.37
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.79
Expected : path, 		Predicted : path, 		Log of likelihood : -56.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.22
Expected : brickface, 		Predicted : window, 		Log of likelihood : -76.53
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.86
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.56
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.59
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.84
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.75
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.93
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.32
Expected : window, 		Predicted : window, 		Log of likelihood : -57.02
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.72
Expected : window, 		Predicted : window, 		Log of likelihood : -56.39
Expected : brickface, 		Predicted : path, 		Log of likelihood : -64.10
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.32
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -67.62
Expected : window, 		Predicted : window, 		Log of likelihood : -55.68
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.63
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.62
Expected : brickface, 		Predicted : window, 		Log of likelihood : -73.31
Expected : window, 		Predicted : window, 		Log of likelihood : -60.40
Expected : window, 		Predicted : window, 		Log of likelihood : -66.88
Expected : window, 		Predicted : window, 		Log of likelihood : -57.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.06
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.47
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.49
Expected : window, 		Predicted : window, 		Log of likelihood : -56.75
Expected : window, 		Predicted : window, 		Log of likelihood : -56.37
Expected : brickface, 		Predicted : window, 		Log of likelihood : -77.05
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.64
Expected : window, 		Predicted : window, 		Log of likelihood : -55.67
Expected : window, 		Predicted : window, 		Log of likelihood : -57.71
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.01
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.17
Expected : window, 		Predicted : window, 		Log of likelihood : -56.78
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.82
Expected : window, 		Predicted : window, 		Log of likelihood : -59.53
Expected : brickface, 		Predicted : path, 		Log of likelihood : -56.69
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.99
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.57
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.17
Expected : window, 		Predicted : window, 		Log of likelihood : -59.82
Expected : brickface, 		Predicted : window, 		Log of likelihood : -66.97
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.21
Expected : window, 		Predicted : window, 		Log of likelihood : -94.68
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.12
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.82
Expected : window, 		Predicted : window, 		Log of likelihood : -56.40
Expected : window, 		Predicted : window, 		Log of likelihood : -56.33
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.34
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.57
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.49
Expected : window, 		Predicted : window, 		Log of likelihood : -59.45
Expected : path, 		Predicted : path, 		Log of likelihood : -56.44
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.93
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.99
Expected : brickface, 		Predicted : window, 		Log of likelihood : -61.91
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.52
Expected : window, 		Predicted : window, 		Log of likelihood : -55.59
Expected : window, 		Predicted : window, 		Log of likelihood : -56.20
Expected : path, 		Predicted : path, 		Log of likelihood : -57.58
Expected : path, 		Predicted : path, 		Log of likelihood : -60.31
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.36
Expected : brickface, 		Predicted : window, 		Log of likelihood : -72.67
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -63.16
Expected : window, 		Predicted : window, 		Log of likelihood : -55.68
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -67.92
Expected : brickface, 		Predicted : path, 		Log of likelihood : -82.06
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.51
Expected : window, 		Predicted : brickface, 		Log of likelihood : -57.13
Expected : brickface, 		Predicted : path, 		Log of likelihood : -56.67
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.81
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.62
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -66.27
Expected : brickface, 		Predicted : window, 		Log of likelihood : -73.46
Expected : brickface, 		Predicted : window, 		Log of likelihood : -55.53
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.15
Expected : path, 		Predicted : path, 		Log of likelihood : -55.28
Expected : window, 		Predicted : window, 		Log of likelihood : -56.43
Expected : window, 		Predicted : window, 		Log of likelihood : -57.63
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.47
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.48
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.94
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.06
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.82
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.49
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.73
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.06
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.03
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.05
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.15
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.03
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.64
Expected : path, 		Predicted : path, 		Log of likelihood : -57.53
Expected : window, 		Predicted : window, 		Log of likelihood : -56.27
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.83
Expected : window, 		Predicted : window, 		Log of likelihood : -66.43
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.11
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.37
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.79
Expected : path, 		Predicted : path, 		Log of likelihood : -56.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.22
Expected : brickface, 		Predicted : window, 		Log of likelihood : -76.53
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.86
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.56
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.59
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.84
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.75
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.93
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.32
Expected : window, 		Predicted : window, 		Log of likelihood : -57.02
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.72
Expected : window, 		Predicted : window, 		Log of likelihood : -56.39
Expected : brickface, 		Predicted : path, 		Log of likelihood : -64.10
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.32
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -67.62
Expected : window, 		Predicted : window, 		Log of likelihood : -55.68
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.63
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.62
Expected : brickface, 		Predicted : window, 		Log of likelihood : -73.31
Expected : window, 		Predicted : window, 		Log of likelihood : -60.40
Expected : window, 		Predicted : window, 		Log of likelihood : -66.88
Expected : window, 		Predicted : window, 		Log of likelihood : -57.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.06
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.47
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.49
Expected : window, 		Predicted : window, 		Log of likelihood : -56.75
Expected : window, 		Predicted : window, 		Log of likelihood : -56.37
Expected : brickface, 		Predicted : window, 		Log of likelihood : -77.05
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.64
Expected : window, 		Predicted : window, 		Log of likelihood : -55.67
Expected : window, 		Predicted : window, 		Log of likelihood : -57.71
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.01
